id_str,text,created_at,place
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:33,None
1.24327E+18,RT    Tia is an assistant professor at the University of Texas  She s a proud STEMinist  supporter of equitable practices in science,2020-03-26 20:33,None
1.24327E+18,Tia is an assistant professor at the University of Texas  She s a proud STEMinist  supporter of equitable practices,2020-03-26 20:33,None
1.24327E+18,RT    I m happy to announce that I will be continuing my education and playing hockey at Wesleyan University  A huge thanks go o,2020-03-26 20:33,None
1.24327E+18,RT    This should be asking for 100  tuition free education  stipends for all graduate students  and additional support for other,2020-03-26 20:33,None
1.24327E+18,RT    Lesson plan I developed  Slavery and its Gradual Abolition in Upper Canada  to explore the history of slavery in Canada,2020-03-26 20:32,None
1.24327E+18,RT    Who the F amp  amp   cares  There s a pandemic on  Oh I forgot  Ideological causes don t stop during a pandemic for the UCP  s,2020-03-26 20:32,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:32,None
1.24327E+18,RT    If university and college officials were worried that some of their students might not come back once they were moved,2020-03-26 20:32,None
1.24327E+18,RT   Ceyram  Ghana Medical Association we are understaffed  My school father got 7As and 1B in English  He was deprived admission into th,2020-03-26 20:32,None
1.24327E+18,Almost end of Week 2 and starting to think about lessons  amp  takeaways since reflecting on Week 1     The New Digital,2020-03-26 20:31,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:31,None
1.24327E+18,Ire Why are     the only University NOT offering refunds to students who just paid for,2020-03-26 20:31,None
1.24327E+18,RT    We encourage students to familiarize themselves with the full Howard University Student Association proposal regarding,2020-03-26 20:31,None
1.24327E+18,RT     13 000 000 in taxpayer funds could be going to families across the nation struggling to put food on the table in the mid,2020-03-26 20:31,None
1.24327E+18,RT    The subject of this week s   is   femii  a 500 level student at UNILAG and he tells us about how he wanted to,2020-03-26 20:30,None
